Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,132.25,133.490005,130.679993,133.229996,42482700,133.229996
2017-01-31,130.169998,130.660004,129.520004,130.320007,19444000,130.320007
2017-01-30,131.580002,131.580002,129.600006,130.979996,18891400,130.979996
2017-01-27,132.679993,132.949997,131.080002,132.179993,19493900,132.179993
2017-01-26,131.630005,133.139999,131.440002,132.779999,19818100,132.779999
2017-01-25,130.00,131.740005,129.770004,131.479996,18731300,131.479996
2017-01-24,129.380005,129.899994,128.380005,129.369995,15130100,129.369995
2017-01-23,127.309998,129.25,126.949997,128.929993,16514200,128.929993
2017-01-20,128.100006,128.479996,126.779999,127.040001,18798000,127.040001
2017-01-19,128.229996,128.350006,127.449997,127.550003,12157100,127.550003
2017-01-18,128.410004,128.429993,126.839996,127.919998,13069000,127.919998
2017-01-17,128.039993,128.339996,127.400002,127.870003,15228000,127.870003
2017-01-13,127.489998,129.270004,127.370003,128.339996,24838700,128.339996
2017-01-12,125.610001,126.730003,124.800003,126.620003,18561300,126.620003
2017-01-11,124.349998,126.120003,124.059998,126.089996,18298500,126.089996
2017-01-10,124.82,125.50,124.279999,124.349998,17247300,124.349998
2017-01-09,123.550003,125.43,123.040001,124.900002,22861600,124.900002
2017-01-06,120.980003,123.879997,120.029999,123.410004,28504400,123.410004
2017-01-05,118.860001,120.949997,118.32,120.669998,19443100,120.669998
2017-01-04,117.550003,119.660004,117.290001,118.690002,19549800,118.690002
2017-01-03,116.029999,117.839996,115.510002,116.860001,20602600,116.860001
2016-12-30,116.599998,116.830002,114.769997,115.050003,18600100,115.050003
2016-12-29,117.00,117.529999,116.059998,116.349998,9921400,116.349998
2016-12-28,118.190002,118.25,116.650002,116.919998,11980200,116.919998
2016-12-27,116.959999,118.68,116.860001,118.010002,12027700,118.010002
2016-12-23,117.00,117.559998,116.300003,117.269997,10877300,117.269997
2016-12-22,118.860001,118.989998,116.93,117.400002,16222400,117.400002
2016-12-21,118.919998,119.199997,118.480003,119.040001,10735800,119.040001
2016-12-20,119.50,119.769997,118.800003,119.089996,13528100,119.089996
2016-12-19,119.849998,120.360001,118.510002,119.239998,15841700,119.239998
2016-12-16,120.900002,121.50,119.269997,119.870003,25174600,119.870003
2016-12-15,120.080002,122.50,119.629997,120.57,20102900,120.57
2016-12-14,120.00,121.690002,118.849998,120.209999,25667800,120.209999
2016-12-13,117.860001,121.519997,117.610001,120.309998,29558100,120.309998
2016-12-12,119.220001,119.239998,117.650002,117.769997,17769700,117.769997
2016-12-09,119.220001,119.940002,118.949997,119.68,17436000,119.68
2016-12-08,117.980003,119.50,117.639999,118.910004,22404200,118.910004
2016-12-07,117.00,117.949997,116.57,117.949997,21855600,117.949997
2016-12-06,117.690002,117.800003,116.330002,117.309998,19048500,117.309998
2016-12-05,115.949997,117.57,115.07,117.43,20095200,117.43
2016-12-02,115.110001,116.480003,114.300003,115.400002,25015200,115.400002
